Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 36871-78-0"," 4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE"," &diams; 4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE<br />&diams; 3(2H)-furanone, 4-acetyl-2,5-dimethyl-"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4070"),=T("22"),,,
" 977043-63-2"," 2-ACETYL-3, 5(OR 6)-DIMETHYLPYRAZINE, MIXTURE OF ISOMERS"," &diams; 2-ACETYL-3,5(OR 6)-DIMETHYLPYRAZINE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3327"),=T("6"),=T("25"),,=T("786")
" 32974-92-8"," 2-ACETYL-3-ETHYLPYRAZINE"," &diams; 2-ACETYL-3-ETHYLPYRAZINE<br />&diams; ETHANONE, 1-(3-ETHYLPYRAZINYL)-<br />&diams; 2-ACETYL-3-ETHYL-1,4-DIAZINE<br />&diams; 1-(3-ETHYLPYRAZINYL)ETHANONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3250"),=T("5"),,,=T("785")
" 142896-11-5"," 2-ACETYL-4-ISOPROPENYLPYRIDINE"," &diams; 2-ACETYL-4-ISPROPENYLPYRIDINE<br />&diams; ethanone, 1-(4-(1-methylethenyl)-2-pyridinyl)-<br />&diams; 1-(4-(1-methylethenyl)-2-pyridinyl)ethanone<br />&diams; 2-acetyl-4-(1-methylethenyl)pyridine"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4636"),=T("24"),,,=T("2153")
" 142896-12-6"," 4-ACETYL-2-ISOPROPENYLPYRIDINE"," &diams; 4-ACETYL-2-ISOPROPENYLPYRIDINE<br />&diams; ethanone, 1-(2-(1-methylethenyl)-4-pyridinyl)-<br />&diams; 1-(2-(1-mehtyethenyl)-4-pyridinyl)ethanone<br />&diams; 4-acetyl-2-(1-methylethenyl)pyridine"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4637"),=T("24"),,,=T("2154")
" 142896-09-1"," 2-ACETYL-4-ISOPROPYLPYRIDINE"," &diams; 2-ACETYL-4-ISOPROPYLPYRIDINE<br />&diams; ethanone, 1-(4-(1-methylethyl)-2-pyridinyl)-<br />&diams; 1-(4-(1-methylethyl)-2-pyridinyl)ethanone<br />&diams; 2-acetyl-4-(1-methylethyl)pyridine"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4638"),=T("24"),,,=T("2155")
" 136954-25-1"," 3-ACETYLMERCAPTOHEXYL ACETATE"," &diams; 3-ACETYLMERCAPTOHEXYL ACETATE<br />&diams; ETHANETHIOIC ACID, S-(1-(2-(ACETYLOXY)ETHYL)BUTYL) ESTER<br />&diams; S-(1-(2-(ACETYLOXY)ETHYL)BUTYL) ETHANETHIOATE<br />&diams; 3-ACETYLTHIOHEXYL ACETATE<br />&diams; 3-ACETYLTHIOHEXYL ETHANOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3816"),=T("18"),,,=T("494")
" 65-82-7"," N-ACETYL-L-METHIONINE"," &diams; N-ACETYL-L-METHIONINE<br />&diams; ACETYLMETHIONINE<br />&diams; L-METHIONINE, N-ACETYL-<br />&diams; METHIONINE, N-ACETYL-, L-<br />&diams; N-ACETYLMETHIONINE<br />&diams; N-ACETYLMETHIONINE, L-"," NUTRIENT SUPPLEMENT",,,,,,,=T("172.372"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 4906-24-5"," ACETYL METHYL CARBINYL ACETATE"," &diams; ACETOIN ACETATE<br />&diams; ACETYL METHYL CARBINYL ACETATE<br />&diams; 3-(ACETYLOXY)-2-BUTANONE<br />&diams; 3-HYDROXY-2-BUTANONE ACETATE<br />&diams; 2-ACETOXY-3-BUTANONE<br />&diams; 2-BUTANON-3-YL ACETATE<br />&diams; 2-BUTANONE, 3-(ACETYLOXY)-<br />&diams; 2-BUTANONE, 3-HYDROXY-, ACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3526"),=T("11"),,,=T("406")
" 1193-79-9"," 2-ACETYL-5-METHYLFURAN"," &diams; 2-ACETYL-5-METHYLFURAN<br />&diams; ETHANONE, 1-(5-METHYL-2-FURANYL)-<br />&diams; METHYL 5-METHYL-2-FURYL KETONE<br />&diams; KETONE, METHYL 5-METHYL-2-FURYL<br />&diams; 1-(5-METHYL-2-FURYL)ETHANONE<br />&diams; 1-(5-METHYL-2-FURANYL)ETHANONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3609"),=T("12"),=T("25"),,=T("1504")
" 23787-80-6"," 2-ACETYL-3-METHYLPYRAZINE"," &diams; 2-ACETYL-3-METHYLPYRAZINE<br />&diams; ETHANONE, 1-(3-METHYLPYRAZINYL)-<br />&diams; KETONE, METHYL 3-METHYLPYRAZINYL<br />&diams; METHYL 3-METHYLPYRAZINYL KETONE<br />&diams; 1-(3-METHYLPYRAZINYL)ETHAN-1-ONE<br />&diams; 2-METHYL-3-ACETYLPYRAZINE<br />&diams; 3-ACETYL-2-METHYLPYRAZINE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3964"),=T("20"),,,=T("950")
" 67860-38-2"," 4-ACETYL-2-METHYLPYRIMIDINE"," &diams; 4-ACETYL-2-METHYLPYRIMIDINE<br />&diams; ETHANONE, 1-(2-METHYL-4-PYRIMIDINYL)-<br />&diams; 1-(2-METHYL-4-PYRIMIDINYL)ETHANONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3654"),=T("13"),,,=T("1565")
" 13679-74-8"," 2-ACETYL-5-METHYLTHIOPHENE"," &diams; 2-ACETYL-5-METHYLTHIOPHENE<br />&diams; ethanone, 1-(5-methyl-2-thienyl)-<br />&diams; 1-(5-methyl-2-thienyl)ethanone<br />&diams; ketone, methyl 5-methyl-2-thienyl<br />&diams; methyl 5-methyl-2-thienyl ketone<br />&diams; 2-methyl-5-acetylthiopene"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4643"),=T("24"),,,=T("2107")
" 22047-25-2"," ACETYLPYRAZINE"," &diams; ACETYLPYRAZINE<br />&diams; METHYL PYRAZINYL KETONE<br />&diams; ETHANONE, 1-PYRAZINYL-<br />&diams; 1-PYRAZINYLETHANONE<br />&diams; KETONE, METHYL PYRAZINYL<br />&diams; 2-ACETYLPYRAZINE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3126"),=T("4"),,,=T("784")
" 1122-62-9"," 2-ACETYLPYRIDINE"," &diams; METHYL 2-PYRIDYL KETONE<br />&diams; ETHANONE, 1-(2-PYRIDINYL)-<br />&diams; KETONE, METHYL 2-PYRIDYL<br />&diams; 2-ACETYLPYRIDINE<br />&diams; 2-ACETOPYRIDINE<br />&diams; 1-(2-PYRIDINYL)ETHANONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3251"),=T("5"),=T("25"),,=T("1309")
" 350-03-8"," 3-ACETYLPYRIDINE"," &diams; METHYL 3-PYRIDYL KETONE<br />&diams; BETA-ACETYLPYRIDINE<br />&diams; ETHANONE, 1-(3-PYRIDINYL)-<br />&diams; METHYL BETA-PYRIDYL KETONE<br />&diams; METHYL PYRIDYL KETONE<br />&diams; KETONE, METHYL 3-PYRIDYL<br />&diams; 3-ACETYLPYRIDINE<br />&diams; 1-(3-PYRIDINYL)ETHANONE<br />&diams; 3-ACETOPYRIDINE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3424"),=T("8"),=T("25"),,=T("1316")
" 99583-29-6"," 2-ACETYL-1-PYRROLINE"," &diams; 2-ACETYL-1-PYRROLINE<br />&diams; 1-(3,4-dihydro-2H-pyrrol-2-yl)ethanone<br />&diams; ethanone, 1-(3,4-dihydro-2H-pyrrol-2-yl)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4249"),=T("22"),,,=T("1604")
" 13171-00-1"," 4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE"," &diams; 4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE<br />&diams; ETHANONE, 1-(6-(1,1-DIMETHYLETHYL)-2,3-DIHYDRO-1,1-DIMETHYL-1H-INDEN-4-YL)-<br />&diams; KETONE, 6-TERT-BUTYL-1,1-DIMETHYL-4-INDANYL METHYL<br />&diams; 1-(6-(1,1-DIMETHYLETHYL)-2,3-DIHYDRO-1,1-DIMETHYL-1H-INDEN-4-YL)ETHANONE<br />&diams; 6-TERT-BUTYL-1,1-DIMETHYL-4-INDANYL METHYL KETONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3653"),=T("13"),,,=T("812")
" 24295-03-2"," 2-ACETYLTHIAZOLE"," &diams; 2-ACETYLTHIAZOLE<br />&diams; METHYL 2-THIAZOLYL KETONE<br />&diams; 2-THIAZOLYL METHYL KETONE<br />&diams; ETHANONE, 1-(2-THIAZOLYL)-<br />&diams; 1-(2-THIAZOLYL)ETHANONE<br />&diams; KETONE, METHYL 2-THIAZOLYL<br />&diams; 5-ACETYLTHIAZOLE<br />&diams; METHYL 5-THIAZOLYL KETONE"," ANTIOXIDANT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3328"),=T("6"),=T("25"),,=T("1041")
" 29926-41-8"," 2-ACETYL-2-THIAZOLINE"," &diams; 2-ACETYL-2-THIAZOLINE<br />&diams; ACETYLTHIAZOLINE-2<br />&diams; ETHANONE, 1-(4,5-DIHYDRO-2-THIAZOLYL)-<br />&diams; KETONE, METHYL 2-THIAZOLIN-2-YL<br />&diams; METHYL 2-THIAZOLIN-2-YL KETONE<br />&diams; 1-(4,5-DIHYDRO-2-THIAZOLYL)ETHANONE<br />&diams; 2-ACETYLTHIAZOLINE<br />&diams; 2-ACETYL-4,5-DIHYDROTRIAZOLE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3817"),=T("18"),,,=T("1759")
" 55764-25-5"," 3-(ACETYLTHIO)-2-METHYLFURAN"," &diams; 3-(ACETYLTHIO)-2-METHYLFURAN<br />&diams; ETHANETHIOIC ACID, S-(2-METHYL-3-FURANYL) ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3973"),=T("20"),=T("21"),,=T("1069")
" 499-12-7"," ACONITIC ACID"," &diams; ACONITIC ACID<br />&diams; ACHILLEIC ACID<br />&diams; CITRIDIC ACID<br />&diams; EQUISETIC ACID<br />&diams; 1-PROPENE-1,2,3-TRICARBOXYLIC ACID<br />&diams; 1,2,3-PROPENETRICARBOXYLIC ACID<br />&diams; 3-CARBOXYGLUTACONIC ACID<br />&diams; 3-CARBOXY-2-PENTENEDIOIC ACID<br />&diams; ACHILLEAIC ACID<br />&diams; PYROCITRIC ACID"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("184.1007"),,,,,,,,,,,,,,,,,,,,,,=T("2010"),=T("3"),,,=T("627")
" 107-02-8"," ACROLEIN"," &diams; ACROLEIN<br />&diams; ACRALDEHYDE<br />&diams; ACRYLIC ALDEHYDE<br />&diams; ALLYL ALDEHYDE<br />&diams; PROPENAL<br />&diams; 2-PROPENAL<br />&diams; ACRYLALDEHYDE<br />&diams; 2-PROPEN-1-ONE<br />&diams; PROP-2-ENAL"," ANTIMICROBIAL AGENT",,,,,,,=T("172.892"),=T("176.300"),,,,,,,,,,,,,,,,,,,,,,,,,
" 9003-06-9"," ACRYLAMIDE-ACRYLIC ACID RESIN"," &diams; POLY(ACRYLAMIDE-CO-ACRYLIC ACID)<br />&diams; ACRYLAMIDE-ACRYLIC ACID COPOLYMER<br />&diams; ACRYLAMIDE-ACRYLIC ACID POLYMER<br />&diams; ACRYLAMIDE-ACRYLIC ACID RESIN<br />&diams; ACRYLIC ACID, POLYMER WITH ACRYLAMIDE<br />&diams; HYDROLYZED POLYACRYLAMIDE<br />&diams; POLYACRYLAMIDE, HYDROLYZED<br />&diams; POLYACRYLAMIDE, PARTIALLY HYDROLYZED<br />&diams; POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID)<br />&diams; 2-PROPENOIC ACID, POLYMER WITH 2-PROPENAMIDE<br />&diams; 2-PROPENAMIDE-2-PROPENOIC ACID POLYMER<br />&diams; 2-PROPENAMIDE, POLYMER WITH 2-PROPENOIC ACID"," FLAVORING AGENT OR ADJUVANT,<br /> SURFACE-FINISHING AGENT",,,,,,,=T("173.5"),=T("175.105"),=T("176.110"),=T("176.180"),,,,,,,,,,,,,,,,,,,,,,,
" 25085-02-3"," ACRYLAMIDE-SODIUM ACRYLATE RESIN"," &diams; POLY(ACRYLAMIDE-CO-SODIUM ACRYLATE)<br />&diams; ACRYLAMIDE-SODIUM ACRYLATE RESIN<br />&diams; ACRYLIC ACID, SODIUM SALT, POLYMER WITH ACRYLAMIDE<br />&diams; POLY(2-PROPENAMIDE-CO-SODIUM ACRYLATE)<br />&diams; POLY(2-PROPENAMIDE-CO-SODIUM 2-PROPENOATE)<br />&diams; SODIUM POLYACRYLATE-ACRYLAMIDE RESIN<br />&diams; SODIUM ACRYLATE-ACRYLAMIDE COPOLYMER<br />&diams; 2-PROPENOIC ACID, SODIUM SALT, POLYMER WITH 2-PROPENAMIDE<br />&diams; 2-PROPENAMIDE-SODIUM 2-PROPENOATE COPOLYMER"," BOILER WATER ADDITIVE",,,,,,,=T("172.710"),=T("173.310"),=T("173.5"),,,,,,,,,,,,,,,,,,,,,,,,
" 40623-75-4"," ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER"," &diams; POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID)<br />&diams; ACRYLIC ACID-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID COPOLYMER<br />&diams; POLY(2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID)<br />&diams; POLY(ACRYLIC ACID-CO-2-ACRYLAMIDO-2-METHYLPROPANESULFONIC ACID)<br />&diams; POLY(2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-CO-2-PROPENOIC ACID)<br />&diams; 2-PROPENOIC ACID, POLYMER WITH 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID<br />&diams; 2-METHYL-2-((1-OXO-2-PROPENYL)AMINO)-1-PROPANESULFONIC ACID-2-PROPENOIC ACID COPOLYMER"," BOILER WATER ADDITIVE",,,,,,,=T("173.310"),=T("176.170"),,,,,,,,,,,,,,,,,,,,,,,,,
" 64365-11-3"," ACTIVATED CARBON"," &diams; CHARCOAL, ACTIVATED<br />&diams; ACTIVATED CHARCOAL<br />&diams; ACTIVATED CARBON<br />&diams; CARBON, ACTIVATED<br />&diams; ACTIVE CARBON"," PROCESSING AID",,,,,,,=T("177.1210"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 124-04-9"," ADIPIC ACID"," &diams; ADIPIC ACID<br />&diams; HEXANEDIOIC ACID<br />&diams; 1,4-BUTANEDICARBOXYLIC ACID"," FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT",,,,,,,=T("175.300"),=T("175.320"),=T("176.170"),=T("176.180"),=T("177.1200"),=T("177.1390"),=T("177.1500"),=T("177.1630"),=T("177.1680"),=T("177.2420"),=T("177.2600"),=T("184.1009"),,,,,,,,,,,=T("2011"),=T("3"),=T("25"),,=T("623")
" 2035-75-8"," ADIPIC ANHYDRIDE"," &diams; ADIPIC ANHYDRIDE<br />&diams; 2,7-OXEPANEDIONE<br />&diams; BUTANEDICARBOXYLIC ANHYDRIDE<br />&diams; HEXANEDIOIC ACID ANHYDRIDE<br />&diams; HEXANEDIOIC ANHYDRIDE"," FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT",,,,,,,=T("172.892"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 714229-20-6"," ADVANTAME"," &diams; ADVANTAME<br />&diams; 2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanine monohydrate<br />&diams; 2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanate monohydrate<br />&diams; L-phenylalanine, N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-, 2-methyl ester, hydrate (1:1)<br />&diams; L-phenylalanine, N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-, 2-methyl ester, monohydrate<br />&diams; 2-methyl N-(3-(3-hydroxy-4-methoxyphenyl)propyl)-L-alpha-aspartyl-L-phenylalanine hydrate (1:1)"," NON-NUTRITIVE SWEETENER",,,,,,,=T("172.803"),,,,,,,,,,,,,,,,,,,,,,=T("4716"),=T("25"),,,
" 515-69-5"," ALPHA-BISABOLOL"," &diams; BISABOLOL, ALPHA<br />&diams; BISABOLOL<br />&diams; 5-hepten-2-ol, 6-methyl-2-(4-methyl-3-cyclohexen-1-yl)-<br />&diams; 6-methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-ol<br />&diams; 3-cyclohexene-1-methanol, alpha,4-dimethyl-alpha-(4-methyl-3-pentenyl)-, (alpha R, 1R)-rel-<br />&diams; alpha,4-dimethyl-alpha-(4-methyl-3-pentenyl)-, (alpha R, 1R)-rel-3-cyclohexene-1-methanol<br />&diams; 3-cyclohexene-1-methanol, alpha, 4-dimethyl-alpha-(4-methyl-3-penten-1-yl)- (alpha R,1R)-rel-<br />&diams; alpha, 4-dimethyl-alpha-(4-methyl-3-penten-1-yl)- (alpha R,1R)-rel-3-cyclohexene-1-methanol<br />&diams; InChI=1S/C15H26O/c1-12(2)6-5-11-15(4,16)14-9-7-13(3)8-10-14/h6-7,14,16H,5,8-11H2,1-4H3/t14-,15-/m0/s1<br />&diams; InChIKey: RGZSQWQPBWRIAQ-GJZGRUSLSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4666"),=T("24"),,,=T("2031")
" 107-95-9"," BETA-ALANINE"," &diams; ALANINE, BETA-<br />&diams; BETA-AMINOPROPIONIC ACID<br />&diams; 3-AMINOPROPANOIC ACID<br />&diams; BETA-ALANINE<br />&diams; 2-CARBOXYETHYLAMINE<br />&diams; 3-AMINOPROPIONIC ACID"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3252"),=T("5"),,,=T("1418")
" 302-72-7"," DL-ALANINE"," &diams; ALANINE, DL-<br />&diams; DL-ALANINE<br />&diams; 2-AMINOPROPANOIC ACID, DL-<br />&diams; ALANINE, DL-ALPHA-<br />&diams; ALANINE, (+-)-<br />&diams; ALANINE, (R,S)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.540"),,,,,,,,,,,,,,,,,,,,,,=T("3818"),=T("18"),=T("25"),,=T("1437")
" 56-41-7"," L-ALANINE"," &diams; ALANINE, L-<br />&diams; ALANINE, ALPHA-<br />&diams; ALANINE, L-ALPHA-<br />&diams; AMINOPROPIONIC ACID, L-ALPHA-<br />&diams; 2-AMINOPROPANOIC ACID, L-<br />&diams; L-ALANINE<br />&diams; ALANINE, (S)-<br />&diams; ALANINE, L-(+)-<br />&diams; ALANINE, (S)-(+)-<br />&diams; 2-AMINOPROPANOIC ACID, (S)-"," NUTRIENT SUPPLEMENT",,,,,,,=T("172.320"),,,,,,,,,,,,,,,,,,,,,,=T("3818"),=T("18"),=T("25"),,=T("1437")
" 39537-23-0"," L-ALANYL-L-GLUTAMINE"," &diams; ALANYL-GLUTAMINE<br />&diams; L-alanyl-L-glutamine<br />&diams; Ala-Gln<br />&diams; alanylglutamine<br />&diams; L-glutamine, L-alanyl-<br />&diams; glutamine, N2-L-alanyl-<br />&diams; InChI=1/C8H15N3O4/c1-4(9)7(13)11-5(8(14)15)2-3-6(10)12/h4-5H,2-3,9H2,1H3,(H2,10,12)(H,11,13)(H,14,15)/t4-,5-/m0/s1<br />&diams; InChIKey: HJCMDXDYPOUFDY-WHFBIAKZSA-N<br />&diams; N2-L-alanylglutamine"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4712"),=T("25"),,,=T("2121")
" 977005-72-3"," ALBUMIN"," &diams; ALBUMIN<br />&diams; ALBUMINS"," FIRMING AGENT,<br /> FORMULATION AID,<br /> NUTRIENT SUPPLEMENT,<br /> PROCESSING AID,<br /> PROPELLANT,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER",,,,,,,,,,,,,,,,,,,,,,,,,,,," 133.124 ,  166.110",,,,,
" 977021-64-9"," ALCOHOL, DENATURED FORMULA 23A"," &diams; ALCOHOL, SPECIALLY DENATURED # 23A<br />&diams; ALCOHOL, DENATURED FORMULA 23A"," PROCESSING AID",=T("73.1"),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 977021-59-2"," ALCOHOL SDA-3A"," &diams; ALCOHOL, SPECIALLY DENATURED # 3A<br />&diams; ALCOHOL SDA-3A<br />&diams; ALCOHOL, DENATURED 3A"," PROCESSING AID",=T("73.1"),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 84082-36-0"," ALFALFA, EXTRACT (MEDICAGO SATIVA L.)"," &diams; ALFALFA EXTRACT<br />&diams; LUCERNE EXTRACT<br />&diams; MEDICAGO SATIVA EXTRACT<br />&diams; ALFALFA, EXT."," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.20"),,,,,,,,,,,,,,,,,,,,,,=T("2013"),=T("3"),,,
" 977092-93-5"," ALFALFA, HERB AND SEED (MEDICAGO SATIVA L.)"," &diams; ALFALFA HERB AND SEED"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("182.10"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 977161-38-8"," ALGAE, BROWN, EXTRACT (MACROCYSTIS AND LAMINARIA SPP.)"," &diams; ALGAE EXTRACT, BROWN<br />&diams; BROWN ALGAE EXTRACT"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("184.1120"),,,,,,,,,,,,,,,,,,,,,,=T("2014"),=T("3"),,,
" 977007-74-1"," ALGAE, RED (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))"," &diams; ALGAE, RED<br />&diams; RHODOPHYTA<br />&diams; RHODOPHYCOTA<br />&diams; RHODOPHYCEAE<br />&diams; ALGUE ROUGE (RHODOPHYCOTA)<br />&diams; RED ALGAE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("184.1121"),,,,,,,,,,,,,,,,,,,,,,=T("2405"),=T("3"),,,
" 977090-04-2"," ALGAE, RED, EXTRACT (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))"," &diams; ALGAE EXTRACT, RED<br />&diams; RED ALGAE EXTRACT"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,=T("184.1121"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 9005-34-9"," ALGINATE, AMMONIUM"," &diams; AMMONIUM ALGINATE<br />&diams; ALGINIC ACID, AMMONIUM SALT"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER",,,,,,,=T("173.310"),=T("178.3900"),=T("184.1133"),,,,,,,,,,,,,,,,,,,,=T("2015"),=T("3"),,,
" 9005-35-0"," ALGINATE, CALCIUM"," &diams; CALCIUM ALGINATE<br />&diams; ALGINIC ACID, CALCIUM SALT<br />&diams; ALGINATE, CALCIUM"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER",,,,,,,=T("184.1187"),,,,,,,,,,,,,,,,,,,,,,=T("2015"),=T("3"),,,
" 9005-36-1"," ALGINATE, POTASSIUM"," &diams; POTASSIUM ALGINATE<br />&diams; ALGINIC ACID, POTASSIUM SALT<br />&diams; POTASSIUM POLYALGINATE"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER",,,,,,,=T("184.1610"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 12698-40-7"," ALGINATE, SODIUM CALCIUM"," &diams; CALCIUM SODIUM ALGINATE<br />&diams; ALGINIC ACID, CALCIUM SODIUM SALT<br />&diams; SODIUM CALCIUM ALGINATE"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 9005-32-7"," ALGINIC ACID"," &diams; ALGINIC ACID<br />&diams; Acid Algin G 2"," EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID,<br /> STABILIZER OR THICKENER",,,,,,,=T("184.1011"),,,,,,,,,,,,,,,,,,,,,,,,,,
